OA Code,Ward Name,LA Name,Region Name,QS611EW0004,QS611EW0001 (base),OA Percentage
E00158148,Curdworth,North Warwickshire,West Midlands,16,84,19.0500,
E00158133,Coleshill North,North Warwickshire,West Midlands,15,62,24.1900,
E00158098,Atherstone South and Mancetter,North Warwickshire,West Midlands,25,68,36.7600,
E00158206,Kingsbury,North Warwickshire,West Midlands,22,91,24.1800,
E00158197,Hurley and Wood End,North Warwickshire,West Midlands,35,97,36.0800,
E00158063,Arley and Whitacre,North Warwickshire,West Midlands,19,93,20.4300,
E00158252,Water Orton,North Warwickshire,West Midlands,19,82,23.1700,
E00158076,Atherstone Central,North Warwickshire,West Midlands,31,93,33.3300,
E00158096,Atherstone South and Mancetter,North Warwickshire,West Midlands,24,74,32.4300,
E00158061,Arley and Whitacre,North Warwickshire,West Midlands,24,79,30.3800,
E00158080,Atherstone Central,North Warwickshire,West Midlands,44,117,37.6100,
E00158152,Curdworth,North Warwickshire,West Midlands,20,75,26.6700,
E00158155,Curdworth,North Warwickshire,West Midlands,11,65,16.9200,
E00158054,Arley and Whitacre,North Warwickshire,West Midlands,35,112,31.2500,
E00158154,Curdworth,North Warwickshire,West Midlands,35,128,27.3400,
E00052726,East Park,Wolverhampton,West Midlands,57,168,33.9300,
E00053069,Park,Wolverhampton,West Midlands,21,119,17.6500,
E00053040,Park,Wolverhampton,West Midlands,19,88,21.5900,
E00052585,Bilston East,Wolverhampton,West Midlands,11,96,11.4600,
E00052971,Merry Hill,Wolverhampton,West Midlands,15,84,17.8600,
E00052649,Bilston North,Wolverhampton,West Midlands,22,67,32.8400,
E00053260,Tettenhall Wightwick,Wolverhampton,West Midlands,10,52,19.2300,
E00052757,East Park,Wolverhampton,West Midlands,17,85,20.0000,
E00052760,East Park,Wolverhampton,West Midlands,27,94,28.7200,
E00052857,Graiseley,Wolverhampton,West Midlands,18,99,18.1800,
E00052981,Merry Hill,Wolverhampton,West Midlands,33,110,30.0000,
E00052727,East Park,Wolverhampton,West Midlands,34,91,37.3600,
E00052836,Graiseley,Wolverhampton,West Midlands,13,92,14.1300,
E00052638,Bilston North,Wolverhampton,West Midlands,28,99,28.2800,
E00052615,Bilston North,Wolverhampton,West Midlands,38,115,33.0400,
E00052900,Heath Town,Wolverhampton,West Midlands,15,110,13.6400,
E00052657,Blakenhall,Wolverhampton,West Midlands,28,116,24.1400,
E00052852,Graiseley,Wolverhampton,West Midlands,20,81,24.6900,
E00053153,Ettingshall,Wolverhampton,West Midlands,23,110,20.9100,
E00052683,Blakenhall,Wolverhampton,West Midlands,23,103,22.3300,
E00052645,East Park,Wolverhampton,West Midlands,37,94,39.3600,
E00052771,Ettingshall,Wolverhampton,West Midlands,20,146,13.7000,
E00052595,Bilston East,Wolverhampton,West Midlands,21,101,20.7900,
E00052596,Bilston East,Wolverhampton,West Midlands,22,77,28.5700,
E00053271,Tettenhall Wightwick,Wolverhampton,West Midlands,12,84,14.2900,
E00052775,Ettingshall,Wolverhampton,West Midlands,33,119,27.7300,
E00167325,St Peter's,Wolverhampton,West Midlands,8,114,7.0200,
E00052845,Graiseley,Wolverhampton,West Midlands,20,93,21.5100,
E00053081,Penn,Wolverhampton,West Midlands,27,108,25.0000,
E00170661,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,24,83,28.9200,
E00131193,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,35,142,24.6500,
E00170672,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,28,100,28.0000,
E00131257,Hinckley Trinity,Hinckley and Bosworth,East Midlands,35,119,29.4100,
E00170662,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,20,71,28.1700,
E00131241,Hinckley Trinity,Hinckley and Bosworth,East Midlands,32,132,24.2400,
E00131209,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,27,86,31.4000,
E00170663,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,31,102,30.3900,
E00131243,Hinckley Trinity,Hinckley and Bosworth,East Midlands,37,134,27.6100,
E00052967,Merry Hill,Wolverhampton,West Midlands,14,57,24.5600,
E00052656,Bilston North,Wolverhampton,West Midlands,28,68,41.1800,
E00052654,Bilston North,Wolverhampton,West Midlands,26,88,29.5500,
E00131006,Ambien,Hinckley and Bosworth,East Midlands,15,56,26.7900,
E00053106,Penn,Wolverhampton,West Midlands,17,80,21.2500,
E00053187,Spring Vale,Wolverhampton,West Midlands,21,73,28.7700,
E00053094,Penn,Wolverhampton,West Midlands,8,57,14.0400,
E00052650,Bilston North,Wolverhampton,West Midlands,27,78,34.6200,
E00052591,Bilston East,Wolverhampton,West Midlands,29,103,28.1600,
E00052747,East Park,Wolverhampton,West Midlands,26,114,22.8100,
E00053258,Tettenhall Wightwick,Wolverhampton,West Midlands,23,96,23.9600,
E00167318,St Peter's,Wolverhampton,West Midlands,8,116,6.9000,
E00052750,East Park,Wolverhampton,West Midlands,18,102,17.6500,
E00052604,Bilston East,Wolverhampton,West Midlands,36,170,21.1800,
E00052949,Merry Hill,Wolverhampton,West Midlands,28,87,32.1800,
E00052643,East Park,Wolverhampton,West Midlands,18,97,18.5600,
E00052752,East Park,Wolverhampton,West Midlands,24,108,22.2200,
E00053264,Tettenhall Wightwick,Wolverhampton,West Midlands,13,81,16.0500,
E00053180,Spring Vale,Wolverhampton,West Midlands,20,68,29.4100,
E00052729,East Park,Wolverhampton,West Midlands,2,21,9.5200,
E00053101,Penn,Wolverhampton,West Midlands,17,79,21.5200,
E00052668,Blakenhall,Wolverhampton,West Midlands,21,133,15.7900,
E00052621,Bilston North,Wolverhampton,West Midlands,35,125,28.0000,
E00052792,Ettingshall,Wolverhampton,West Midlands,25,97,25.7700,
E00053112,Penn,Wolverhampton,West Midlands,13,91,14.2900,
E00053193,Spring Vale,Wolverhampton,West Midlands,20,76,26.3200,
E00052850,Graiseley,Wolverhampton,West Midlands,20,89,22.4700,
E00053267,Tettenhall Wightwick,Wolverhampton,West Midlands,8,72,11.1100,
E00052602,Bilston East,Wolverhampton,West Midlands,17,96,17.7100,
E00053261,Tettenhall Wightwick,Wolverhampton,West Midlands,6,62,9.6800,
E00052685,Blakenhall,Wolverhampton,West Midlands,32,124,25.8100,
E00052748,East Park,Wolverhampton,West Midlands,26,125,20.8000,
E00052687,Blakenhall,Wolverhampton,West Midlands,21,86,24.4200,
E00052606,Bilston East,Wolverhampton,West Midlands,18,84,21.4300,
E00052737,East Park,Wolverhampton,West Midlands,42,143,29.3700,
E00052762,Ettingshall,Wolverhampton,West Midlands,32,145,22.0700,
E00167332,Bilston East,Wolverhampton,West Midlands,20,119,16.8100,
E00053049,Tettenhall Wightwick,Wolverhampton,West Midlands,17,70,24.2900,
E00052626,Bilston North,Wolverhampton,West Midlands,24,83,28.9200,
E00053268,Tettenhall Wightwick,Wolverhampton,West Midlands,10,82,12.2000,
E00052864,Graiseley,Wolverhampton,West Midlands,22,124,17.7400,
E00053269,Tettenhall Wightwick,Wolverhampton,West Midlands,15,81,18.5200,
E00053329,Wednesfield South,Wolverhampton,West Midlands,25,102,24.5100,
E00053163,Spring Vale,Wolverhampton,West Midlands,19,88,21.5900,
E00052598,Bilston East,Wolverhampton,West Midlands,42,138,30.4300,
E00053078,Penn,Wolverhampton,West Midlands,21,98,21.4300,
E00052848,Graiseley,Wolverhampton,West Midlands,28,117,23.9300,
E00052633,Bilston North,Wolverhampton,West Midlands,28,83,33.7300,
E00053079,Penn,Wolverhampton,West Midlands,15,89,16.8500,
E00053198,Spring Vale,Wolverhampton,West Midlands,20,94,21.2800,
E00170673,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,19,68,27.9400,
E00052844,Graiseley,Wolverhampton,West Midlands,28,93,30.1100,
E00052653,Bilston North,Wolverhampton,West Midlands,22,109,20.1800,
E00052772,Ettingshall,Wolverhampton,West Midlands,27,130,20.7700,
E00052842,Graiseley,Wolverhampton,West Midlands,22,92,23.9100,
E00053099,Penn,Wolverhampton,West Midlands,19,104,18.2700,
E00052743,East Park,Wolverhampton,West Midlands,13,81,16.0500,
E00131041,Barwell,Hinckley and Bosworth,East Midlands,32,102,31.3700,
E00131208,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,19,69,27.5400,
E00131258,Hinckley Trinity,Hinckley and Bosworth,East Midlands,22,78,28.2100,
E00131198,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,20,89,22.4700,
E00131256,Hinckley Trinity,Hinckley and Bosworth,East Midlands,28,112,25.0000,
E00131253,Hinckley Trinity,Hinckley and Bosworth,East Midlands,25,86,29.0700,
E00170683,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,13,61,21.3100,
E00131207,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,20,94,21.2800,
E00131260,Hinckley Trinity,Hinckley and Bosworth,East Midlands,32,102,31.3700,
E00152167,Trinity,Tamworth,West Midlands,26,132,19.7000,
E00053091,Penn,Wolverhampton,West Midlands,15,98,15.3100,
E00052644,East Park,Wolverhampton,West Midlands,14,54,25.9300,
E00053103,Penn,Wolverhampton,West Midlands,24,103,23.3000,
E00052785,Bilston East,Wolverhampton,West Midlands,34,117,29.0600,
E00053196,Spring Vale,Wolverhampton,West Midlands,15,58,25.8600,
E00052849,Graiseley,Wolverhampton,West Midlands,25,104,24.0400,
E00052688,Blakenhall,Wolverhampton,West Midlands,16,77,20.7800,
E00052609,Bilston East,Wolverhampton,West Midlands,28,81,34.5700,
E00053092,Penn,Wolverhampton,West Midlands,22,82,26.8300,
E00053177,Spring Vale,Wolverhampton,West Midlands,26,88,29.5500,
E00052966,Merry Hill,Wolverhampton,West Midlands,14,75,18.6700,
E00052969,Merry Hill,Wolverhampton,West Midlands,18,89,20.2200,
E00053086,Penn,Wolverhampton,West Midlands,27,90,30.0000,
E00053055,Park,Wolverhampton,West Midlands,15,134,11.1900,
E00052968,Merry Hill,Wolverhampton,West Midlands,33,93,35.4800,
E00052855,Graiseley,Wolverhampton,West Midlands,28,96,29.1700,
E00052977,Merry Hill,Wolverhampton,West Midlands,25,94,26.6000,
E00052749,East Park,Wolverhampton,West Midlands,27,91,29.6700,
E00052589,Bilston East,Wolverhampton,West Midlands,25,92,27.1700,
E00167348,Blakenhall,Wolverhampton,West Midlands,30,108,27.7800,
E00052601,Bilston East,Wolverhampton,West Midlands,22,78,28.2100,
E00052680,Blakenhall,Wolverhampton,West Midlands,26,95,27.3700,
E00052746,East Park,Wolverhampton,West Midlands,21,88,23.8600,
E00052583,Bilston East,Wolverhampton,West Midlands,19,100,19.0000,
E00053048,Tettenhall Wightwick,Wolverhampton,West Midlands,24,83,28.9200,
E00053064,Park,Wolverhampton,West Midlands,14,72,19.4400,
E00167346,Heath Town,Wolverhampton,West Midlands,21,104,20.1900,
E00052873,Heath Town,Wolverhampton,West Midlands,23,115,20.0000,
E00052898,Heath Town,Wolverhampton,West Midlands,36,167,21.5600,
E00053043,Park,Wolverhampton,West Midlands,13,81,16.0500,
E00053182,Spring Vale,Wolverhampton,West Midlands,26,90,28.8900,
E00053270,Tettenhall Wightwick,Wolverhampton,West Midlands,20,91,21.9800,
E00052768,Ettingshall,Wolverhampton,West Midlands,28,105,26.6700,
E00052870,Graiseley,Wolverhampton,West Midlands,19,91,20.8800,
E00053275,Tettenhall Wightwick,Wolverhampton,West Midlands,19,96,19.7900,
E00052761,Ettingshall,Wolverhampton,West Midlands,29,133,21.8000,
E00052587,Bilston East,Wolverhampton,West Midlands,18,78,23.0800,
E00053089,Penn,Wolverhampton,West Midlands,19,91,20.8800,
E00053060,Park,Wolverhampton,West Midlands,18,138,13.0400,
E00052676,Blakenhall,Wolverhampton,West Midlands,26,127,20.4700,
E00052795,Ettingshall,Wolverhampton,West Midlands,31,94,32.9800,
E00052581,Bilston East,Wolverhampton,West Midlands,28,101,27.7200,
E00052660,Blakenhall,Wolverhampton,West Midlands,17,77,22.0800,
E00052592,Bilston East,Wolverhampton,West Midlands,20,95,21.0500,
E00158297,Arbury,Nuneaton and Bedworth,West Midlands,29,96,30.2100,
E00168286,Galley Common,Nuneaton and Bedworth,West Midlands,23,93,24.7300,
E00158640,Whitestone,Nuneaton and Bedworth,West Midlands,11,65,16.9200,
E00158483,Heath,Nuneaton and Bedworth,West Midlands,39,104,37.5000,
E00158402,Camp Hill,Nuneaton and Bedworth,West Midlands,28,100,28.0000,
E00158511,Kingswood,Nuneaton and Bedworth,West Midlands,35,125,28.0000,
E00158590,Weddington,Nuneaton and Bedworth,West Midlands,32,99,32.3200,
E00158425,Exhall,Nuneaton and Bedworth,West Midlands,31,103,30.1000,
E00158497,Kingswood,Nuneaton and Bedworth,West Midlands,15,74,20.2700,
E00158416,Camp Hill,Nuneaton and Bedworth,West Midlands,19,65,29.2300,
E00158480,Heath,Nuneaton and Bedworth,West Midlands,22,75,29.3300,
E00158401,Camp Hill,Nuneaton and Bedworth,West Midlands,30,106,28.3000,
E00158644,Whitestone,Nuneaton and Bedworth,West Midlands,16,88,18.1800,
E00158601,Weddington,Nuneaton and Bedworth,West Midlands,34,91,37.3600,
E00158566,Slough,Nuneaton and Bedworth,West Midlands,36,114,31.5800,
E00165814,Exhall,Nuneaton and Bedworth,West Midlands,22,79,27.8500,
E00170665,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,21,98,21.4300,
E00131337,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,17,65,26.1500,
E00131187,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,27,115,23.4800,
E00131011,Ambien,Hinckley and Bosworth,East Midlands,21,78,26.9200,
E00131333,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,16,103,15.5300,
E00170671,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,23,108,21.3000,
E00131007,Ambien,Hinckley and Bosworth,East Midlands,18,102,17.6500,
E00158078,Atherstone Central,North Warwickshire,West Midlands,43,170,25.2900,
E00158205,Kingsbury,North Warwickshire,West Midlands,20,71,28.1700,
E00158127,Coleshill North,North Warwickshire,West Midlands,9,39,23.0800,
E00158103,Atherstone South and Mancetter,North Warwickshire,West Midlands,20,90,22.2200,
E00158182,Hartshill,North Warwickshire,West Midlands,22,93,23.6600,
E00158109,Baddesley and Grendon,North Warwickshire,West Midlands,28,101,27.7200,
E00158188,Hartshill,North Warwickshire,West Midlands,17,84,20.2400,
E00158179,Hartshill,North Warwickshire,West Midlands,12,52,23.0800,
E00158253,Water Orton,North Warwickshire,West Midlands,25,107,23.3600,
E00158249,Water Orton,North Warwickshire,West Midlands,22,83,26.5100,
E00158204,Kingsbury,North Warwickshire,West Midlands,25,94,26.6000,
E00158172,Fillongley,North Warwickshire,West Midlands,23,117,19.6600,
E00158186,Hartshill,North Warwickshire,West Midlands,16,68,23.5300,
E00158107,Atherstone South and Mancetter,North Warwickshire,West Midlands,22,110,20.0000,
E00158145,Curdworth,North Warwickshire,West Midlands,19,61,31.1500,
E00158129,Coleshill North,North Warwickshire,West Midlands,25,102,24.5100,
E00158087,Atherstone North,North Warwickshire,West Midlands,17,62,27.4200,
E00158199,Hurley and Wood End,North Warwickshire,West Midlands,22,96,22.9200,
E00158118,Baddesley and Grendon,North Warwickshire,West Midlands,22,65,33.8500,
E00158135,Coleshill South,North Warwickshire,West Midlands,30,93,32.2600,
E00131210,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,33,115,28.7000,
E00158428,Exhall,Nuneaton and Bedworth,West Midlands,21,80,26.2500,
E00158321,Attleborough,Nuneaton and Bedworth,West Midlands,35,108,32.4100,
E00168295,Arbury,Nuneaton and Bedworth,West Midlands,22,97,22.6800,
E00168299,Heath,Nuneaton and Bedworth,West Midlands,28,94,29.7900,
E00158408,Camp Hill,Nuneaton and Bedworth,West Midlands,31,97,31.9600,
E00170669,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,28,102,27.4500,
E00170670,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,19,109,17.4300,
E00131205,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,39,122,31.9700,
E00131248,Hinckley Trinity,Hinckley and Bosworth,East Midlands,21,104,20.1900,
E00131336,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,8,56,14.2900,
E00131181,Hinckley Castle,Hinckley and Bosworth,East Midlands,23,83,27.7100,
E00131330,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,25,88,28.4100,
E00131197,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,19,73,26.0300,
E00131002,Ambien,Hinckley and Bosworth,East Midlands,27,109,24.7700,
E00131203,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,28,107,26.1700,
E00131201,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,24,85,28.2400,
E00131191,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,22,72,30.5600,
E00131196,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,15,64,23.4400,
E00131242,Hinckley Trinity,Hinckley and Bosworth,East Midlands,33,110,30.0000,
E00131080,Burbage Sketchley and Stretton,Hinckley and Bosworth,East Midlands,16,95,16.8400,
E00170668,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,24,113,21.2400,
E00131003,Ambien,Hinckley and Bosworth,East Midlands,35,108,32.4100,
E00131199,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,25,74,33.7800,
E00170664,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,31,136,22.7900,
E00131334,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,16,76,21.0500,
E00131246,Hinckley Trinity,Hinckley and Bosworth,East Midlands,30,125,24.0000,
E00131010,Ambien,Hinckley and Bosworth,East Midlands,16,84,19.0500,
E00131192,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,8,52,15.3800,
E00131008,Ambien,Hinckley and Bosworth,East Midlands,26,81,32.1000,
E00131004,Ambien,Hinckley and Bosworth,East Midlands,29,102,28.4300,
E00131180,Hinckley Castle,Hinckley and Bosworth,East Midlands,22,100,22.0000,
E00131244,Hinckley Trinity,Hinckley and Bosworth,East Midlands,22,109,20.1800,
E00131012,Ambien,Hinckley and Bosworth,East Midlands,21,79,26.5800,
E00131245,Hinckley Trinity,Hinckley and Bosworth,East Midlands,35,153,22.8800,
E00131206,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,27,90,30.0000,
E00131202,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,31,115,26.9600,
E00131200,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,23,97,23.7100,
E00131186,Hinckley Castle,Hinckley and Bosworth,East Midlands,30,78,38.4600,
E00131009,Ambien,Hinckley and Bosworth,East Midlands,28,78,35.9000,
E00131088,Burbage Sketchley and Stretton,Hinckley and Bosworth,East Midlands,11,127,8.6600,
E00131249,Hinckley Trinity,Hinckley and Bosworth,East Midlands,20,78,25.6400,
E00131254,Hinckley Trinity,Hinckley and Bosworth,East Midlands,16,65,24.6200,
E00131005,Ambien,Hinckley and Bosworth,East Midlands,19,84,22.6200,
E00170667,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,20,91,21.9800,
E00131335,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,7,58,12.0700,
E00158578,Slough,Nuneaton and Bedworth,West Midlands,20,89,22.4700,
E00158436,Exhall,Nuneaton and Bedworth,West Midlands,26,108,24.0700,
E00158461,Galley Common,Nuneaton and Bedworth,West Midlands,29,109,26.6100,
E00158635,Whitestone,Nuneaton and Bedworth,West Midlands,12,78,15.3800,
E00158606,Wem Brook,Nuneaton and Bedworth,West Midlands,18,116,15.5200,
E00158638,Whitestone,Nuneaton and Bedworth,West Midlands,15,80,18.7500,
E00158334,Bar Pool,Nuneaton and Bedworth,West Midlands,23,105,21.9000,
E00158439,Exhall,Nuneaton and Bedworth,West Midlands,19,82,23.1700,
E00158397,Bulkington,Nuneaton and Bedworth,West Midlands,25,68,36.7600,
E00158594,Weddington,Nuneaton and Bedworth,West Midlands,18,68,26.4700,
E00158545,St Nicolas,Nuneaton and Bedworth,West Midlands,14,70,20.0000,
E00158316,Attleborough,Nuneaton and Bedworth,West Midlands,23,86,26.7400,
E00158515,Poplar,Nuneaton and Bedworth,West Midlands,23,89,25.8400,
E00158270,Abbey,Nuneaton and Bedworth,West Midlands,19,118,16.1000,
E00158542,St Nicolas,Nuneaton and Bedworth,West Midlands,14,92,15.2200,
E00158650,Whitestone,Nuneaton and Bedworth,West Midlands,14,69,20.2900,
E00158410,Camp Hill,Nuneaton and Bedworth,West Midlands,25,139,17.9900,
E00158625,Wem Brook,Nuneaton and Bedworth,West Midlands,43,148,29.0500,
E00158491,Kingswood,Nuneaton and Bedworth,West Midlands,31,133,23.3100,
E00158467,Galley Common,Nuneaton and Bedworth,West Midlands,34,111,30.6300,
E00158329,Attleborough,Nuneaton and Bedworth,West Midlands,14,100,14.0000,
E00158468,Galley Common,Nuneaton and Bedworth,West Midlands,39,116,33.6200,
E00168303,Galley Common,Nuneaton and Bedworth,West Midlands,30,109,27.5200,
E00158534,Poplar,Nuneaton and Bedworth,West Midlands,26,98,26.5300,
E00158276,Abbey,Nuneaton and Bedworth,West Midlands,26,130,20.0000,
E00158622,Wem Brook,Nuneaton and Bedworth,West Midlands,13,64,20.3100,
E00158526,Poplar,Nuneaton and Bedworth,West Midlands,32,133,24.0600,
E00158560,Slough,Nuneaton and Bedworth,West Midlands,28,71,39.4400,
E00158274,Abbey,Nuneaton and Bedworth,West Midlands,25,83,30.1200,
E00158547,St Nicolas,Nuneaton and Bedworth,West Midlands,16,57,28.0700,
E00158462,Galley Common,Nuneaton and Bedworth,West Midlands,31,79,39.2400,
E00158348,Bar Pool,Nuneaton and Bedworth,West Midlands,30,86,34.8800,
E00158620,Wem Brook,Nuneaton and Bedworth,West Midlands,18,99,18.1800,
E00158451,Galley Common,Nuneaton and Bedworth,West Midlands,32,123,26.0200,
E00168262,Streetly,Walsall,West Midlands,28,119,23.5300,
E00158632,Whitestone,Nuneaton and Bedworth,West Midlands,12,87,13.7900,
E00158326,Attleborough,Nuneaton and Bedworth,West Midlands,22,111,19.8200,
E00158281,Abbey,Nuneaton and Bedworth,West Midlands,19,108,17.5900,
E00158552,St Nicolas,Nuneaton and Bedworth,West Midlands,12,90,13.3300,
E00158282,Abbey,Nuneaton and Bedworth,West Midlands,23,99,23.2300,
E00158502,Kingswood,Nuneaton and Bedworth,West Midlands,22,85,25.8800,
E00158583,Weddington,Nuneaton and Bedworth,West Midlands,9,62,14.5200,
E00158414,Camp Hill,Nuneaton and Bedworth,West Midlands,28,110,25.4500,
E00158495,Kingswood,Nuneaton and Bedworth,West Midlands,25,81,30.8600,
E00158557,Slough,Nuneaton and Bedworth,West Midlands,29,100,29.0000,
E00158586,Weddington,Nuneaton and Bedworth,West Midlands,13,45,28.8900,
E00050376,Cradley Heath and Old Hill,Sandwell,West Midlands,23,86,26.7400,
E00158208,Kingsbury,North Warwickshire,West Midlands,24,84,28.5700,
E00158151,Curdworth,North Warwickshire,West Midlands,20,86,23.2600,
E00168278,Hurley and Wood End,North Warwickshire,West Midlands,11,98,11.2200,
E00158090,Atherstone North,North Warwickshire,West Midlands,29,68,42.6500,
E00158092,Atherstone North,North Warwickshire,West Midlands,24,95,25.2600,
E00158165,Dordon,North Warwickshire,West Midlands,18,65,27.6900,
E00050759,Princes End,Sandwell,West Midlands,30,103,29.1300,
E00050644,Newton,Sandwell,West Midlands,18,85,21.1800,
E00050359,Cradley Heath and Old Hill,Sandwell,West Midlands,20,64,31.2500,
E00168216,Tividale,Sandwell,West Midlands,27,121,22.3100,
E00050780,Rowley,Sandwell,West Midlands,24,84,28.5700,
E00050701,Old Warley,Sandwell,West Midlands,23,66,34.8500,
E00050802,Rowley,Sandwell,West Midlands,24,91,26.3700,
E00050474,Great Bridge,Sandwell,West Midlands,29,91,31.8700,
E00168228,Cradley Heath and Old Hill,Sandwell,West Midlands,27,99,27.2700,
E00050705,Old Warley,Sandwell,West Midlands,19,88,21.5900,
E00050438,Charlemont with Grove Vale,Sandwell,West Midlands,6,49,12.2400,
E00050883,Soho and Victoria,Sandwell,West Midlands,11,105,10.4800,
E00050784,Rowley,Sandwell,West Midlands,24,88,27.2700,
E00050499,Great Bridge,Sandwell,West Midlands,38,112,33.9300,
E00050371,Cradley Heath and Old Hill,Sandwell,West Midlands,19,67,28.3600,
E00050418,Friar Park,Sandwell,West Midlands,31,104,29.8100,
E00050300,Old Warley,Sandwell,West Midlands,24,65,36.9200,
E00050198,Abbey,Sandwell,West Midlands,14,108,12.9600,
E00050748,Princes End,Sandwell,West Midlands,29,87,33.3300,
E00050381,Cradley Heath and Old Hill,Sandwell,West Midlands,24,115,20.8700,
E00050707,Old Warley,Sandwell,West Midlands,16,73,21.9200,
E00052399,St Matthew's,Walsall,West Midlands,23,130,17.6900,
E00050786,Blackheath,Sandwell,West Midlands,25,92,27.1700,
E00051065,Wednesbury South,Sandwell,West Midlands,18,56,32.1400,
E00051022,Wednesbury North,Sandwell,West Midlands,24,98,24.4900,
E00052391,Birchills Leamore,Walsall,West Midlands,34,123,27.6400,
E00050671,Oldbury,Sandwell,West Midlands,27,130,20.7700,
E00050365,Cradley Heath and Old Hill,Sandwell,West Midlands,19,101,18.8100,
E00050197,Abbey,Sandwell,West Midlands,23,143,16.0800,
E00050370,Cradley Heath and Old Hill,Sandwell,West Midlands,45,192,23.4400,
E00051864,Bentley and Darlaston North,Walsall,West Midlands,10,64,15.6300,
E00052318,Pheasey Park Farm,Walsall,West Midlands,17,69,24.6400,
E00168259,Pheasey Park Farm,Walsall,West Midlands,17,102,16.6700,
E00051865,Bentley and Darlaston North,Walsall,West Midlands,32,101,31.6800,
E00051848,Bentley and Darlaston North,Walsall,West Midlands,37,117,31.6200,
