OA Code,Ward Name,LA Name,Region Name,QS106EW0003,QS106EW0001 (base),OA Percentage
E00053099,Penn,Wolverhampton,West Midlands,3,380,0.7900,
E00052743,East Park,Wolverhampton,West Midlands,2,197,1.0200,
E00131041,Barwell,Hinckley and Bosworth,East Midlands,7,339,2.0600,
E00131208,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,211,3.3200,
E00131258,Hinckley Trinity,Hinckley and Bosworth,East Midlands,6,230,2.6100,
E00131198,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,0,277,0.0000,
E00131256,Hinckley Trinity,Hinckley and Bosworth,East Midlands,7,337,2.0800,
E00131253,Hinckley Trinity,Hinckley and Bosworth,East Midlands,2,260,0.7700,
E00170683,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,2,170,1.1800,
E00131207,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,4,332,1.2000,
E00131260,Hinckley Trinity,Hinckley and Bosworth,East Midlands,5,325,1.5400,
E00152167,Trinity,Tamworth,West Midlands,8,434,1.8400,
E00053091,Penn,Wolverhampton,West Midlands,12,393,3.0500,
E00052644,East Park,Wolverhampton,West Midlands,3,181,1.6600,
E00053103,Penn,Wolverhampton,West Midlands,0,327,0.0000,
E00052785,Bilston East,Wolverhampton,West Midlands,4,287,1.3900,
E00053196,Spring Vale,Wolverhampton,West Midlands,3,200,1.5000,
E00052849,Graiseley,Wolverhampton,West Midlands,1,277,0.3600,
E00052688,Blakenhall,Wolverhampton,West Midlands,9,372,2.4200,
E00052609,Bilston East,Wolverhampton,West Midlands,6,323,1.8600,
E00053092,Penn,Wolverhampton,West Midlands,7,297,2.3600,
E00053177,Spring Vale,Wolverhampton,West Midlands,3,290,1.0300,
E00052966,Merry Hill,Wolverhampton,West Midlands,15,320,4.6900,
E00052969,Merry Hill,Wolverhampton,West Midlands,1,294,0.3400,
E00053086,Penn,Wolverhampton,West Midlands,7,347,2.0200,
E00053055,Park,Wolverhampton,West Midlands,12,254,4.7200,
E00052968,Merry Hill,Wolverhampton,West Midlands,7,312,2.2400,
E00052855,Graiseley,Wolverhampton,West Midlands,11,316,3.4800,
E00052977,Merry Hill,Wolverhampton,West Midlands,0,233,0.0000,
E00052749,East Park,Wolverhampton,West Midlands,5,323,1.5500,
E00052589,Bilston East,Wolverhampton,West Midlands,1,313,0.3200,
E00167348,Blakenhall,Wolverhampton,West Midlands,9,374,2.4100,
E00052601,Bilston East,Wolverhampton,West Midlands,7,333,2.1000,
E00052680,Blakenhall,Wolverhampton,West Midlands,11,371,2.9600,
E00052746,East Park,Wolverhampton,West Midlands,1,308,0.3200,
E00052583,Bilston East,Wolverhampton,West Midlands,2,222,0.9000,
E00053048,Tettenhall Wightwick,Wolverhampton,West Midlands,9,328,2.7400,
E00053064,Park,Wolverhampton,West Midlands,5,140,3.5700,
E00167346,Heath Town,Wolverhampton,West Midlands,12,246,4.8800,
E00052873,Heath Town,Wolverhampton,West Midlands,7,337,2.0800,
E00052898,Heath Town,Wolverhampton,West Midlands,12,463,2.5900,
E00053043,Park,Wolverhampton,West Midlands,12,307,3.9100,
E00053182,Spring Vale,Wolverhampton,West Midlands,6,298,2.0100,
E00053270,Tettenhall Wightwick,Wolverhampton,West Midlands,5,262,1.9100,
E00052768,Ettingshall,Wolverhampton,West Midlands,4,320,1.2500,
E00052870,Graiseley,Wolverhampton,West Midlands,4,337,1.1900,
E00053275,Tettenhall Wightwick,Wolverhampton,West Midlands,9,334,2.6900,
E00052761,Ettingshall,Wolverhampton,West Midlands,5,501,1.0000,
E00052587,Bilston East,Wolverhampton,West Midlands,2,245,0.8200,
E00053089,Penn,Wolverhampton,West Midlands,4,355,1.1300,
E00053060,Park,Wolverhampton,West Midlands,19,354,5.3700,
E00052676,Blakenhall,Wolverhampton,West Midlands,5,470,1.0600,
E00052795,Ettingshall,Wolverhampton,West Midlands,1,329,0.3000,
E00052581,Bilston East,Wolverhampton,West Midlands,6,320,1.8800,
E00052660,Blakenhall,Wolverhampton,West Midlands,6,423,1.4200,
E00052592,Bilston East,Wolverhampton,West Midlands,0,304,0.0000,
E00158297,Arbury,Nuneaton and Bedworth,West Midlands,7,297,2.3600,
E00158640,Whitestone,Nuneaton and Bedworth,West Midlands,4,298,1.3400,
E00158483,Heath,Nuneaton and Bedworth,West Midlands,8,337,2.3700,
E00158402,Camp Hill,Nuneaton and Bedworth,West Midlands,5,297,1.6800,
E00158511,Kingswood,Nuneaton and Bedworth,West Midlands,4,326,1.2300,
E00158590,Weddington,Nuneaton and Bedworth,West Midlands,15,352,4.2600,
E00158425,Exhall,Nuneaton and Bedworth,West Midlands,8,349,2.2900,
E00158497,Kingswood,Nuneaton and Bedworth,West Midlands,8,279,2.8700,
E00158416,Camp Hill,Nuneaton and Bedworth,West Midlands,3,278,1.0800,
E00168286,Galley Common,Nuneaton and Bedworth,West Midlands,4,230,1.7400,
E00158401,Camp Hill,Nuneaton and Bedworth,West Midlands,8,333,2.4000,
E00158644,Whitestone,Nuneaton and Bedworth,West Midlands,11,268,4.1000,
E00158480,Heath,Nuneaton and Bedworth,West Midlands,8,289,2.7700,
E00158566,Slough,Nuneaton and Bedworth,West Midlands,6,355,1.6900,
E00158601,Weddington,Nuneaton and Bedworth,West Midlands,8,291,2.7500,
E00170665,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,12,269,4.4600,
E00131337,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,11,286,3.8500,
E00131187,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,12,294,4.0800,
E00165814,Exhall,Nuneaton and Bedworth,West Midlands,3,327,0.9200,
E00131333,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,13,378,3.4400,
E00170671,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,15,318,4.7200,
E00131007,Ambien,Hinckley and Bosworth,East Midlands,12,353,3.4000,
E00158078,Atherstone Central,North Warwickshire,West Midlands,9,397,2.2700,
E00158205,Kingsbury,North Warwickshire,West Midlands,14,314,4.4600,
E00158127,Coleshill North,North Warwickshire,West Midlands,2,140,1.4300,
E00158103,Atherstone South and Mancetter,North Warwickshire,West Midlands,2,311,0.6400,
E00158182,Hartshill,North Warwickshire,West Midlands,9,302,2.9800,
E00158109,Baddesley and Grendon,North Warwickshire,West Midlands,9,352,2.5600,
E00131011,Ambien,Hinckley and Bosworth,East Midlands,9,257,3.5000,
E00158179,Hartshill,North Warwickshire,West Midlands,6,142,4.2300,
E00158253,Water Orton,North Warwickshire,West Midlands,13,356,3.6500,
E00158188,Hartshill,North Warwickshire,West Midlands,9,276,3.2600,
E00158204,Kingsbury,North Warwickshire,West Midlands,6,324,1.8500,
E00158172,Fillongley,North Warwickshire,West Midlands,7,466,1.5000,
E00158249,Water Orton,North Warwickshire,West Midlands,3,276,1.0900,
E00158107,Atherstone South and Mancetter,North Warwickshire,West Midlands,6,399,1.5000,
E00158145,Curdworth,North Warwickshire,West Midlands,5,238,2.1000,
E00158129,Coleshill North,North Warwickshire,West Midlands,5,336,1.4900,
E00158186,Hartshill,North Warwickshire,West Midlands,3,171,1.7500,
E00158199,Hurley and Wood End,North Warwickshire,West Midlands,6,352,1.7000,
E00158087,Atherstone North,North Warwickshire,West Midlands,4,277,1.4400,
E00158118,Baddesley and Grendon,North Warwickshire,West Midlands,6,192,3.1300,
E00158135,Coleshill South,North Warwickshire,West Midlands,5,301,1.6600,
E00158428,Exhall,Nuneaton and Bedworth,West Midlands,5,268,1.8700,
E00158321,Attleborough,Nuneaton and Bedworth,West Midlands,10,357,2.8000,
E00131210,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,10,327,3.0600,
E00168295,Arbury,Nuneaton and Bedworth,West Midlands,10,317,3.1500,
E00158408,Camp Hill,Nuneaton and Bedworth,West Midlands,9,357,2.5200,
E00168299,Heath,Nuneaton and Bedworth,West Midlands,2,287,0.7000,
E00170670,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,286,2.4500,
E00131205,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,11,393,2.8000,
E00170669,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,291,2.4100,
E00131248,Hinckley Trinity,Hinckley and Bosworth,East Midlands,4,197,2.0300,
E00131181,Hinckley Castle,Hinckley and Bosworth,East Midlands,6,263,2.2800,
E00131330,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,4,282,1.4200,
E00131336,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,6,192,3.1300,
E00131002,Ambien,Hinckley and Bosworth,East Midlands,6,353,1.7000,
E00131197,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,3,172,1.7400,
E00131201,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,13,289,4.5000,
E00131191,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,236,2.9700,
E00131203,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,12,315,3.8100,
E00131242,Hinckley Trinity,Hinckley and Bosworth,East Midlands,11,307,3.5800,
E00131196,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,202,3.4700,
E00170668,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,18,292,6.1600,
E00131003,Ambien,Hinckley and Bosworth,East Midlands,78,487,16.0200,
E00131080,Burbage Sketchley and Stretton,Hinckley and Bosworth,East Midlands,5,355,1.4100,
E00131199,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,8,254,3.1500,
E00131334,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,3,277,1.0800,
E00170664,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,12,318,3.7700,
E00131010,Ambien,Hinckley and Bosworth,East Midlands,10,262,3.8200,
E00131246,Hinckley Trinity,Hinckley and Bosworth,East Midlands,7,414,1.6900,
E00131192,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,1,195,0.5100,
E00131004,Ambien,Hinckley and Bosworth,East Midlands,14,393,3.5600,
E00131008,Ambien,Hinckley and Bosworth,East Midlands,1,255,0.3900,
E00131180,Hinckley Castle,Hinckley and Bosworth,East Midlands,11,191,5.7600,
E00131012,Ambien,Hinckley and Bosworth,East Midlands,4,281,1.4200,
E00131244,Hinckley Trinity,Hinckley and Bosworth,East Midlands,6,331,1.8100,
E00131245,Hinckley Trinity,Hinckley and Bosworth,East Midlands,9,461,1.9500,
E00131202,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,7,313,2.2400,
E00131206,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,6,278,2.1600,
E00131186,Hinckley Castle,Hinckley and Bosworth,East Midlands,4,302,1.3200,
E00131009,Ambien,Hinckley and Bosworth,East Midlands,3,280,1.0700,
E00131200,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,4,231,1.7300,
E00131249,Hinckley Trinity,Hinckley and Bosworth,East Midlands,4,253,1.5800,
E00131088,Burbage Sketchley and Stretton,Hinckley and Bosworth,East Midlands,13,445,2.9200,
E00131005,Ambien,Hinckley and Bosworth,East Midlands,3,287,1.0500,
E00131254,Hinckley Trinity,Hinckley and Bosworth,East Midlands,8,209,3.8300,
E00131335,Twycross and Witherley with Sheepy,Hinckley and Bosworth,East Midlands,1,240,0.4200,
E00170667,Hinckley Clarendon,Hinckley and Bosworth,East Midlands,4,268,1.4900,
E00158436,Exhall,Nuneaton and Bedworth,West Midlands,3,365,0.8200,
E00158578,Slough,Nuneaton and Bedworth,West Midlands,9,223,4.0400,
E00158635,Whitestone,Nuneaton and Bedworth,West Midlands,5,273,1.8300,
E00158606,Wem Brook,Nuneaton and Bedworth,West Midlands,16,402,3.9800,
E00158461,Galley Common,Nuneaton and Bedworth,West Midlands,7,338,2.0700,
E00158334,Bar Pool,Nuneaton and Bedworth,West Midlands,10,279,3.5800,
E00158638,Whitestone,Nuneaton and Bedworth,West Midlands,9,298,3.0200,
E00158397,Bulkington,Nuneaton and Bedworth,West Midlands,3,253,1.1900,
E00158439,Exhall,Nuneaton and Bedworth,West Midlands,2,231,0.8700,
E00158545,St Nicolas,Nuneaton and Bedworth,West Midlands,5,307,1.6300,
E00158316,Attleborough,Nuneaton and Bedworth,West Midlands,10,353,2.8300,
E00158594,Weddington,Nuneaton and Bedworth,West Midlands,4,310,1.2900,
E00158270,Abbey,Nuneaton and Bedworth,West Midlands,10,415,2.4100,
E00158515,Poplar,Nuneaton and Bedworth,West Midlands,10,340,2.9400,
E00158542,St Nicolas,Nuneaton and Bedworth,West Midlands,9,331,2.7200,
E00158625,Wem Brook,Nuneaton and Bedworth,West Midlands,9,436,2.0600,
E00158650,Whitestone,Nuneaton and Bedworth,West Midlands,7,278,2.5200,
E00158491,Kingswood,Nuneaton and Bedworth,West Midlands,6,310,1.9400,
E00158467,Galley Common,Nuneaton and Bedworth,West Midlands,7,354,1.9800,
E00158329,Attleborough,Nuneaton and Bedworth,West Midlands,6,268,2.2400,
E00158468,Galley Common,Nuneaton and Bedworth,West Midlands,1,352,0.2800,
E00158410,Camp Hill,Nuneaton and Bedworth,West Midlands,7,347,2.0200,
E00168303,Galley Common,Nuneaton and Bedworth,West Midlands,18,346,5.2000,
E00158534,Poplar,Nuneaton and Bedworth,West Midlands,6,364,1.6500,
E00158276,Abbey,Nuneaton and Bedworth,West Midlands,12,325,3.6900,
E00158622,Wem Brook,Nuneaton and Bedworth,West Midlands,2,221,0.9000,
E00158560,Slough,Nuneaton and Bedworth,West Midlands,6,296,2.0300,
E00158526,Poplar,Nuneaton and Bedworth,West Midlands,10,329,3.0400,
E00158547,St Nicolas,Nuneaton and Bedworth,West Midlands,7,290,2.4100,
E00158274,Abbey,Nuneaton and Bedworth,West Midlands,9,329,2.7400,
E00158462,Galley Common,Nuneaton and Bedworth,West Midlands,3,278,1.0800,
E00158348,Bar Pool,Nuneaton and Bedworth,West Midlands,12,266,4.5100,
E00158632,Whitestone,Nuneaton and Bedworth,West Midlands,11,314,3.5000,
E00158620,Wem Brook,Nuneaton and Bedworth,West Midlands,8,168,4.7600,
E00158281,Abbey,Nuneaton and Bedworth,West Midlands,5,280,1.7900,
E00158552,St Nicolas,Nuneaton and Bedworth,West Midlands,14,357,3.9200,
E00158326,Attleborough,Nuneaton and Bedworth,West Midlands,5,296,1.6900,
E00158282,Abbey,Nuneaton and Bedworth,West Midlands,8,290,2.7600,
E00158583,Weddington,Nuneaton and Bedworth,West Midlands,6,267,2.2500,
E00158502,Kingswood,Nuneaton and Bedworth,West Midlands,10,256,3.9100,
E00158495,Kingswood,Nuneaton and Bedworth,West Midlands,10,299,3.3400,
E00158414,Camp Hill,Nuneaton and Bedworth,West Midlands,9,347,2.5900,
E00158586,Weddington,Nuneaton and Bedworth,West Midlands,0,140,0.0000,
E00050376,Cradley Heath and Old Hill,Sandwell,West Midlands,1,253,0.4000,
E00158557,Slough,Nuneaton and Bedworth,West Midlands,7,341,2.0500,
E00158451,Galley Common,Nuneaton and Bedworth,West Midlands,7,396,1.7700,
E00158151,Curdworth,North Warwickshire,West Midlands,10,292,3.4200,
E00158208,Kingsbury,North Warwickshire,West Midlands,7,265,2.6400,
E00168278,Hurley and Wood End,North Warwickshire,West Midlands,4,340,1.1800,
E00158090,Atherstone North,North Warwickshire,West Midlands,3,303,0.9900,
E00168262,Streetly,Walsall,West Midlands,8,358,2.2300,
E00050644,Newton,Sandwell,West Midlands,4,342,1.1700,
E00050474,Great Bridge,Sandwell,West Midlands,2,352,0.5700,
E00158092,Atherstone North,North Warwickshire,West Midlands,1,275,0.3600,
E00050438,Charlemont with Grove Vale,Sandwell,West Midlands,3,203,1.4800,
E00050759,Princes End,Sandwell,West Midlands,4,190,2.1100,
E00050780,Rowley,Sandwell,West Midlands,13,334,3.8900,
E00050359,Cradley Heath and Old Hill,Sandwell,West Midlands,5,286,1.7500,
E00050701,Old Warley,Sandwell,West Midlands,8,278,2.8800,
E00168216,Tividale,Sandwell,West Midlands,6,404,1.4900,
E00168228,Cradley Heath and Old Hill,Sandwell,West Midlands,8,365,2.1900,
E00050802,Rowley,Sandwell,West Midlands,6,298,2.0100,
E00050784,Rowley,Sandwell,West Midlands,4,336,1.1900,
E00050883,Soho and Victoria,Sandwell,West Midlands,11,428,2.5700,
E00050705,Old Warley,Sandwell,West Midlands,14,306,4.5800,
E00050499,Great Bridge,Sandwell,West Midlands,6,345,1.7400,
E00158165,Dordon,North Warwickshire,West Midlands,1,275,0.3600,
E00050748,Princes End,Sandwell,West Midlands,1,321,0.3100,
E00050418,Friar Park,Sandwell,West Midlands,2,388,0.5200,
E00050381,Cradley Heath and Old Hill,Sandwell,West Midlands,1,226,0.4400,
E00050198,Abbey,Sandwell,West Midlands,4,258,1.5500,
E00050707,Old Warley,Sandwell,West Midlands,3,280,1.0700,
E00050371,Cradley Heath and Old Hill,Sandwell,West Midlands,2,244,0.8200,
E00052399,St Matthew's,Walsall,West Midlands,11,411,2.6800,
E00050786,Blackheath,Sandwell,West Midlands,1,261,0.3800,
E00051065,Wednesbury South,Sandwell,West Midlands,2,175,1.1400,
E00051022,Wednesbury North,Sandwell,West Midlands,2,327,0.6100,
E00050300,Old Warley,Sandwell,West Midlands,2,241,0.8300,
E00052391,Birchills Leamore,Walsall,West Midlands,0,228,0.0000,
E00050370,Cradley Heath and Old Hill,Sandwell,West Midlands,12,562,2.1400,
E00050365,Cradley Heath and Old Hill,Sandwell,West Midlands,1,349,0.2900,
E00050671,Oldbury,Sandwell,West Midlands,12,482,2.4900,
E00051864,Bentley and Darlaston North,Walsall,West Midlands,12,287,4.1800,
E00050197,Abbey,Sandwell,West Midlands,12,339,3.5400,
E00052318,Pheasey Park Farm,Walsall,West Midlands,3,295,1.0200,
E00051865,Bentley and Darlaston North,Walsall,West Midlands,2,323,0.6200,
E00050441,Great Barr with Yew Tree,Sandwell,West Midlands,3,254,1.1800,
E00168259,Pheasey Park Farm,Walsall,West Midlands,6,220,2.7300,
